idno,netustm,ppltrst,vote,prtvtddk,health,lvpntyr,tygrtr,gndr,yrbrn,edlvddk,eduyrs,wkhct,wkhtot,grspnum,frlgrsp,inwtm
93384,480,10,Yes,,Very good,1999,20,Male,1980,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",35,35,35,,,50.0
93417,30,5,Yes,Socialdemokratiet - The Social democrats,Very good,1999,25,Male,1979,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",18,37,50,50000,,95.0
93488,300,7,Not eligible to vote,,Very good,1998,65,Female,1980,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",15,37,37,27000,35000,77.0
93571,5,5,Yes,Dansk Folkeparti - Danish People's Party,Fair,2013,54,Male,1965,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",4,37,40,,,66.0
93640,,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Very good,1964,62,Male,1946,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",20,37,50,,,56.0
93707,70,9,Yes,SF Socialistisk Folkeparti - Socialist People's Party,Fair,1980,60,Female,1960,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,37,39,31200,,77.0
93766,180,9,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Very good,1984,,Female,1964,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",25,37,55,99999,9999,86.0
94016,480,8,Yes,SF Socialistisk Folkeparti - Socialist People's Party,Very good,1967,,Male,1947,Licentiat,,37,50,,,67.0
94043,510,4,Yes,Det Radikale Venstre - The Radical Liberal Party,Very good,2011,88,Male,1992,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",16,37,45,38000,,32.0
94092,30,7,Yes,Enhedslisten - Unity List - The Red-Green Alliance,Good,1986,,Male,1967,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",12,,45,,,95.0
94120,90,8,Yes,Socialdemokratiet - The Social democrats,Very good,1966,Never too young,Female,1945,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",40,37,37,,,82.0
94216,45,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Very good,1968,60,Female,1948,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",14,30,40,,,81.0
94224,60,9,Yes,Socialdemokratiet - The Social democrats,Good,1968,60,Female,1950,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",20,32,32,,,63.0
94230,600,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Very good,1994,60,Male,1976,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",11,37,45,65000,70000,50.0
94233,120,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Very good,1990,59,Male,1974,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",3,37,48,57000,50000,65.0
94295,70,8,Yes,Socialdemokratiet - The Social democrats,Very good,1971,,Male,1951,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",16,42,45,,,106.0
94327,121,7,Yes,SF Socialistisk Folkeparti - Socialist People's Party,Good,1996,64,Female,1981,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",15,35,45,17600,,187.0
94382,60,8,Yes,Socialdemokratiet - The Social democrats,Good,1972,60,Male,1955,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",15,37,37,,,56.0
94383,60,9,Yes,Enhedslisten - Unity List - The Red-Green Alliance,Fair,1971,55,Female,1953,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",15,32,32,,,72.0
94428,480,8,Not eligible to vote,,Good,"Still in parental home, never left 2 months",60,Male,2002,Folkeskole 9.-10. klasse,10,6,6,1300,1300,55.0
94437,180,9,Yes,Alternativet - The Alternative,Fair,1999,,Female,1978,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",17,28,30,,,52.0
94498,180,8,Yes,Dansk Folkeparti - Danish People's Party,Very good,2001,60,Female,1985,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",17,37,37,21000,,66.0
94557,150,5,Yes,Socialdemokratiet - The Social democrats,Bad,1978,55,Male,1959,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",9,,30,,,92.0
94558,60,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Very good,1961,65,Female,1944,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",3,37,37,,,73.0
94595,60,7,Yes,SF Socialistisk Folkeparti - Socialist People's Party,Very good,1988,60,Male,1966,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",8,37,40,75000,,61.0
94617,,7,Yes,Socialdemokratiet - The Social democrats,Good,1965,,Male,1946,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",12,37,37,,,49.0
94655,30,5,Yes,Socialdemokratiet - The Social democrats,Very good,1959,60,Female,1940,Folkeskole 9.-10. klasse,10,37,37,,,50.0
94703,120,8,Yes,Det Konservative Folkeparti - Conservative People's Party,Good,1988,60,Male,1967,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",16,37,40,50000,,64.0
94714,60,9,Yes,Socialdemokratiet - The Social democrats,Good,1974,60,Male,1952,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",15,10,10,13000,13000,65.0
94769,60,8,Yes,Socialdemokratiet - The Social democrats,Very good,1973,63,Female,1954,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",4,37,37,,,74.0
94808,300,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Very good,1962,,Female,1941,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",14,14,22,,,64.0
94869,,5,Yes,Socialdemokratiet - The Social democrats,Very good,1953,65,Male,1932,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",4,40,40,,,62.0
95093,210,9,Yes,Socialdemokratiet - The Social democrats,Very good,1995,50,Female,1975,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",16,37,37,30000,,81.0
95134,240,7,Yes,Enhedslisten - Unity List - The Red-Green Alliance,Good,2004,,Male,1994,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",22,28,37,29000,32000,44.0
95182,480,8,Yes,Socialdemokratiet - The Social democrats,Good,1975,60,Female,1956,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,30,35,35000,40000,65.0
95209,120,9,Yes,Socialdemokratiet - The Social democrats,Very good,1986,45,Male,1966,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,37,37,30000,,51.0
95230,240,8,No,,Bad,1973,59,Female,1955,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",19,40,40,,,62.0
95233,90,7,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Fair,1981,64,Female,1959,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",14,37,45,35000,38000,60.0
95310,540,8,Yes,Liberal Alliance - Liberal Alliance,Very good,1990,55,Male,1969,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",16,37,42,65000,,72.0
95587,70,7,Yes,Socialdemokratiet - The Social democrats,Fair,1982,60,Female,1966,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",3,12,12,,,60.0
95591,60,5,Yes,,Very good,1956,50,Female,1939,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",12,28,30,,,76.0
95598,30,8,Yes,Socialdemokratiet - The Social democrats,Very good,1974,35,Male,1953,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,37,37,,,58.0
95609,90,9,Not eligible to vote,,Good,1976,Never too young,Female,1952,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",17,37,37,,,50.0
95696,240,3,Yes,Det Radikale Venstre - The Radical Liberal Party,Very bad,1986,50,Male,1965,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",12,37,45,,,98.0
95863,,8,Yes,Dansk Folkeparti - Danish People's Party,Very good,2011,60,Male,1960,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,37,37,25000,30000,53.0
95953,630,2,Yes,Socialdemokratiet - The Social democrats,Good,2012,30,Male,1995,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",14,37,38,11900,13500,45.0
96258,60,7,Yes,Dansk Folkeparti - Danish People's Party,Good,2008,55,Female,1992,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",16,37,45,30000,35000,41.0
96374,600,6,Not eligible to vote,,Very good,"Still in parental home, never left 2 months",60,Male,1999,Folkeskole 9.-10. klasse,11,0,2,12000,,52.0
96392,360,10,Yes,Det Konservative Folkeparti - Conservative People's Party,Good,2008,40,Male,1990,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",18,8,8,,,45.0
96395,480,8,Yes,Socialdemokratiet - The Social democrats,Very good,2008,50,Male,1991,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",18,,20,,,77.0
96409,60,7,Yes,Enhedslisten - Unity List - The Red-Green Alliance,Good,1968,60,Female,1951,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",23,,,,,58.0
96513,120,8,Yes,Socialdemokratiet - The Social democrats,Very good,"Still in parental home, never left 2 months",25,Male,1996,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",5,37,37,24000,,53.0
96541,120,9,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Very good,1991,65,Female,1970,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",16,33,33,24000,,75.0
96701,360,8,Yes,Socialdemokratiet - The Social democrats,Very good,1988,60,Female,1969,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",24,30,30,27000,,56.0
96743,240,,No,,Very good,1977,,Male,1957,"Forskeruddannelse. Ph.d., doktor",20,37,37,,,114.0
96816,45,8,Yes,Socialdemokratiet - The Social democrats,Good,1972,60,Female,1951,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",13,37,37,,,80.0
96941,130,5,Yes,Dansk Folkeparti - Danish People's Party,Good,2008,55,Male,1984,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",3,37,40,36000,,38.0
96961,300,8,Yes,Enhedslisten - Unity List - The Red-Green Alliance,Very good,2009,Never too young,Male,1988,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",16,20,20,30000,35000,76.0
96993,390,7,Yes,SF Socialistisk Folkeparti - Socialist People's Party,Good,1998,,Female,1981,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",15,37,37,30000,35000,53.0
96998,630,5,Yes,Det Radikale Venstre - The Radical Liberal Party,Very good,"Still in parental home, never left 2 months",,Male,1985,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",17,37,37,40000,,31.0
97167,,7,Yes,Dansk Folkeparti - Danish People's Party,Bad,2006,65,Female,1988,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",16,28,28,22000,24000,70.0
97225,45,7,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Good,1982,60,Male,1967,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",35,37,60,35000,,40.0
97267,120,5,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Good,1979,60,Female,1961,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",3,15,15,14500,,57.0
97293,210,8,Yes,Socialdemokratiet - The Social democrats,Good,1997,,Male,1977,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",18,37,37,40000,50000,65.0
97305,120,8,Yes,Socialdemokratiet - The Social democrats,Very good,1980,65,Female,1963,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",19,28,28,22000,,35.0
97316,120,7,Yes,Liberal Alliance - Liberal Alliance,Good,2017,50,Female,1996,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",14,37,41,,,69.0
97320,60,8,Yes,Socialdemokratiet - The Social democrats,Good,1965,65,Male,1946,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",15,37,65,,,45.0
97389,240,8,Yes,SF Socialistisk Folkeparti - Socialist People's Party,Good,1973,60,Male,1955,Folkeskole 9.-10. klasse,10,37,37,,,53.0
97393,120,8,Yes,Socialdemokratiet - The Social democrats,Very good,1988,55,Female,1969,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,37,37,23000,,49.0
97398,180,6,Yes,Dansk Folkeparti - Danish People's Party,Very good,1987,,Female,1970,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,37,43,27500,32000,54.0
97618,120,5,Not eligible to vote,,Very good,1999,65,Male,1977,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",15,37,37,30000,35000,36.0
97663,600,4,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Very good,1991,60,Male,1973,Universitetsbachelor. 1. del af kandidatuddannelse,18,37,55,81000,,66.0
97713,20,7,Yes,Det Radikale Venstre - The Radical Liberal Party,Very good,1985,62,Female,1966,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",15,37,38,50000,,71.0
97736,60,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Bad,1978,Never too young,Female,1960,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,24,24,26300,,40.0
97744,,7,Yes,,Very good,1962,65,Female,1944,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",14,33,,,,78.0
97803,150,10,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Very good,1994,,Female,1976,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",11,37,37,26000,,68.0
97834,,7,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Fair,1972,40,Female,1950,Folkeskole 6.-8. klasse,8,30,30,,,35.0
97851,122,8,Yes,Det Konservative Folkeparti - Conservative People's Party,Good,1967,,Male,1948,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",19,0,0,0,,71.0
98187,120,7,Not eligible to vote,,Very good,2014,60,Male,1997,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",13,40,40,22000,,54.0
98275,240,8,Yes,Enhedslisten - Unity List - The Red-Green Alliance,Fair,1979,,Male,1958,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",19,37,44,50000,,58.0
98385,210,8,Not eligible to vote,,Very good,"Still in parental home, never left 2 months",Never too young,Male,2003,Folkeskole 6.-8. klasse,9,4,4,,,43.0
98445,120,7,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Good,2013,62,Male,1986,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",17,,60,,,52.0
98562,,4,Yes,Socialdemokratiet - The Social democrats,Fair,2011,18,Female,1995,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",10,12,12,,,41.0
98904,300,7,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Good,2005,,Male,1982,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,38,38,33000,,50.0
98943,45,9,Yes,Dansk Folkeparti - Danish People's Party,Bad,1969,50,Male,1954,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",20,,84,,,113.0
98975,,3,Yes,Dansk Folkeparti - Danish People's Party,Fair,1957,60,Male,1941,Folkeskole 9.-10. klasse,17,28,28,,,159.0
98988,240,7,Yes,Other,Good,1999,69,Female,1983,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,37,40,28000,31000,57.0
99001,60,6,Yes,Alternativet - The Alternative,Very good,1990,58,Female,1973,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",17,37,42,29000,,78.0
99023,330,7,Yes,Enhedslisten - Unity List - The Red-Green Alliance,Fair,2016,Never too young,Female,1996,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",15,5,5,,,70.0
99036,183,7,Yes,,Very good,2014,68,Male,1991,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,36,36,34000,,65.0
99037,60,3,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Good,1973,50,Male,1953,Folkeskole 9.-10. klasse,10,37,50,33000,,43.0
99107,60,7,Yes,,Good,1961,65,Female,1944,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",6,37,50,,,63.0
99141,150,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Fair,1998,Never too young,Male,1976,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",3,30,34,,,66.0
99181,,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Fair,1973,49,Male,1958,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",11,12,12,28000,,54.0
99198,60,7,Yes,Dansk Folkeparti - Danish People's Party,Fair,1965,55,Male,1945,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,40,40,,,67.0
99250,300,6,Yes,Liberal Alliance - Liberal Alliance,Good,2017,60,Female,1997,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",12,37,48,20000,,57.0
99306,180,4,Yes,Enhedslisten - Unity List - The Red-Green Alliance,Good,2017,50,Male,1996,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",14,15,25,,,52.0
99309,15,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Very good,1960,65,Female,1942,Folkeskole 6.-8. klasse,7,37,39,,,80.0
99391,120,5,Yes,Dansk Folkeparti - Danish People's Party,Good,1994,60,Female,1976,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",17,12,12,18800,25000,37.0
99431,120,8,Yes,Socialdemokratiet - The Social democrats,Very good,1978,60,Female,1960,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",11,29,29,2500,,76.0
99485,60,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Very good,1972,Never too young,Female,1954,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",14,37,40,,,63.0
99486,,6,Yes,Socialdemokratiet - The Social democrats,Fair,1969,65,Male,1951,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,28,28,,,96.0
99681,390,8,No,,Very good,2009,65,Male,1990,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",14,37,37,,,72.0
99685,122,8,Yes,Det Konservative Folkeparti - Conservative People's Party,Fair,1953,,Male,1934,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",20,37,50,,,64.0
99887,600,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Very good,1991,60,Male,1973,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",17,37,37,40000,,63.0
99957,180,9,No,,Good,"Still in parental home, never left 2 months",65,Male,1998,Folkeskole 9.-10. klasse,13,37,37,11000,,61.0
99970,180,9,Yes,Enhedslisten - Unity List - The Red-Green Alliance,Very good,1990,60,Male,1975,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,37,38,40000,,43.0
100133,60,9,Yes,Socialdemokratiet - The Social democrats,Fair,1963,60,Female,1949,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",14,37,37,,,71.0
100241,120,7,Not eligible to vote,,Good,1978,60,Female,1957,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",15,37,45,33000,,64.0
100320,45,7,Yes,Enhedslisten - Unity List - The Red-Green Alliance,Good,1962,Never too young,Male,1946,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",15,37,42,,,73.0
100325,180,4,Yes,SF Socialistisk Folkeparti - Socialist People's Party,Good,2001,,Female,1984,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",15,30,30,24500,,67.0
100392,120,7,Yes,Enhedslisten - Unity List - The Red-Green Alliance,Good,2010,70,Male,1988,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",19,37,37,,,68.0
100428,420,8,Yes,SF Socialistisk Folkeparti - Socialist People's Party,Good,1976,64,Female,1961,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,37,40,55000,,54.0
100626,120,8,Yes,Socialdemokratiet - The Social democrats,Very good,1990,62,Male,1971,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",15,37,40,36500,,58.0
100785,60,5,Yes,Dansk Folkeparti - Danish People's Party,Bad,1981,Never too young,Female,1970,Folkeskole 9.-10. klasse,17,,40,,,59.0
100938,90,8,Yes,Det Radikale Venstre - The Radical Liberal Party,Very good,1988,60,Female,1972,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",20,37,42,70000,,60.0
100939,60,9,Yes,Dansk Folkeparti - Danish People's Party,Good,1969,Never too young,Male,1955,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",12,50,50,30000,,68.0
101085,540,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Good,2002,50,Male,1981,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",19,37,37,39600,42000,63.0
101212,210,5,Not eligible to vote,,Good,2008,,Male,1989,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",18,5,5,,,65.0
101241,30,5,Yes,Dansk Folkeparti - Danish People's Party,Fair,1986,60,Female,1969,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,32,32,19000,20000,133.0
101251,60,7,Yes,Dansk Folkeparti - Danish People's Party,Very good,1969,55,Male,1954,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",11,37,50,38000,,35.0
101278,270,5,Not eligible to vote,,Good,"Still in parental home, never left 2 months",,Female,1998,Folkeskole 9.-10. klasse,13,7,11,5000,,55.0
101382,90,6,Yes,,Very good,2010,68,Male,1990,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",12,37,34,40000,35000,40.0
101564,540,6,Yes,Socialdemokratiet - The Social democrats,Good,1990,60,Male,1966,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",18,37,48,140000,180000,49.0
101586,480,8,Yes,Socialdemokratiet - The Social democrats,Good,1976,67,Male,1959,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",3,70,70,100000,,61.0
101596,120,8,Yes,SF Socialistisk Folkeparti - Socialist People's Party,Very good,2007,59,Female,1986,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",17,37,37,,,59.0
101599,720,4,Yes,Dansk Folkeparti - Danish People's Party,Bad,2007,Never too young,Female,1990,Folkeskole 9.-10. klasse,9,37,37,,,52.0
101645,120,9,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Good,1967,60,Female,1944,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",12,40,40,,,57.0
101653,90,7,Yes,Det Radikale Venstre - The Radical Liberal Party,Good,1983,60,Female,1962,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",19,32,32,21500,,60.0
101769,150,10,Yes,Socialdemokratiet - The Social democrats,Bad,1974,Never too young,Male,1960,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",18,12,12,,,50.0
101814,90,7,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Good,1984,Never too young,Male,1968,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,37,45,40000,45000,52.0
101823,30,7,Yes,Socialdemokratiet - The Social democrats,Very good,1963,65,Male,1945,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",17,37,40,,,45.0
101874,120,6,Yes,Socialdemokratiet - The Social democrats,Very good,2008,Never too young,Female,1994,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",10,37,41,24000,30000,79.0
101906,60,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Good,1992,60,Male,1970,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",4,37,37,40000,,58.0
102030,240,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Very good,1973,,Female,1955,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",16,37,37,32000,,58.0
102162,60,8,Yes,Socialdemokratiet - The Social democrats,Fair,1962,65,Female,1946,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,37,37,,,56.0
102231,35,8,Yes,Socialdemokratiet - The Social democrats,Good,1986,50,Male,1966,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",18,25,25,,,64.0
102281,60,8,Yes,Det Konservative Folkeparti - Conservative People's Party,Bad,1972,Never too young,Male,1953,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",12,,55,,,66.0
102303,600,8,Yes,Enhedslisten - Unity List - The Red-Green Alliance,Good,2004,60,Female,1986,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",4,37,37,31500,35000,55.0
102328,270,6,Not eligible to vote,,Very good,"Still in parental home, never left 2 months",,Female,2001,Folkeskole 9.-10. klasse,10,2,2,600,,41.0
102501,,9,Yes,Enhedslisten - Unity List - The Red-Green Alliance,Good,1965,88,Male,1947,Folkeskole 6.-8. klasse,8,37,37,,,79.0
102577,,8,Yes,Kristendemokraterne - Christian Democrats,Good,1966,Never too young,Female,1948,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",12,11,12,,,79.0
102591,60,7,Not eligible to vote,,Good,2004,50,Male,1977,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",23,37,37,38000,,67.0
102638,180,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Good,1992,60,Male,1972,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,38,40,48000,,73.0
102651,540,7,Not eligible to vote,,Very good,"Still in parental home, never left 2 months",45,Male,2000,Folkeskole 9.-10. klasse,12,,12,3500,,41.0
102792,,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",Good,1968,65,Male,1944,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",7,25,45,,,49.0
